State,Crop,Season,Year,Area,Production,Yield,Average yield
Andaman and Nicobar Islands,Arecanut,Autumn,2008,4147,3060,0.74,2.42
Andaman and Nicobar Islands,Arecanut,Autumn,2009,4153,3120,0.75,2.42
Andaman and Nicobar Islands,Arecanut,Kharif,2000,4354,7200,3.27,4.84
Andaman and Nicobar Islands,Arecanut,Kharif,2001,4354,7300,3.33,4.84
Andaman and Nicobar Islands,Arecanut,Kharif,2007,2439.6,3415.44,1.4,2.42
Andaman and Nicobar Islands,Arecanut,Rabi,2007,1626.4,2276.96,1.4,2.42
Andaman and Nicobar Islands,Arecanut,Rabi,2010,4152,5800,4.47,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2011,4220,5950,4.21,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2012,4225,5975,4.24,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2013,4290.9,9966.4,6.47,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2014,4669.5,9348,5.35,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2015,4623.5,10327.5,5.78,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2016,4619.5,10608,5.83,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2017,3498.3,15283.37,11.51,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2018,4075.69,12389.29,7.75,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2019,4335.8,10589.2,6.26,7.26
Andaman and Nicobar Islands,Arecanut,Summer,2008,4147,2660,0.64,2.42
Andaman and Nicobar Islands,Arecanut,Summer,2009,4153,2080,0.5,2.42
Andaman and Nicobar Islands,Arecanut,Whole Year,2002,4363,7350,3.36,4.84
Andaman and Nicobar Islands,Arecanut,Whole Year,2003,4379,6707,2.87,4.84
Andaman and Nicobar Islands,Arecanut,Whole Year,2004,4425.37,4781.05,1.9,4.84
Andaman and Nicobar Islands,Arecanut,Whole Year,2005,3250.78,3058.46,0.94,2.42
Andaman and Nicobar Islands,Arecanut,Whole Year,2006,4056,5839.3,4.31,7.26
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2007,24,128.5,5.35,0.88
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2010,315,104,0.95,1.76
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2011,210,63.4,0.3,0.88
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2012,52.5,15,0.29,0.88
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2013,1.5,3.2,3.4,1.76
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2014,14.9,14.2,1.39,1.76
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2015,1,0.5,1,1.76
